100,Abraham,Abigail,R,406-776-8209,46 Country Ave. Christmas Island NS,B1T 1X3
101,Allan,Alexandra,C,924-326-7763,32 Division Dr. Lloydminster SK ,S9V 6M8
102,Alsop,Alison,R,339-525-8705,7838 West Wagon St. Maniwaki QC ,J9E 6J7
103,Anderson,Amanda,C,724-326-7661,8519 Miles St. Minto NB ,E4B 3S7
104,Arnold,Amelia,R,518-845-3789,9119 Marshall Drive Midland ON ,L4R 0A9
105,Avery,Amy,C,443-658-0325,89 Prairie St. St-Louis-de-Kent NB ,E4X 0C3
106,Bailey,Andrea,R,284-877-9416,7423 East Fifth Court St. Martins NB ,E5R 1M8
107,Baker,Angela,C,932-746-8182,9464 Linden St. Weyburn SK ,S4H 7C7
108,Ball,Anna,R,344-480-5052,7061 Stillwater Street Ste. Anne MB ,R5H 7B9
109,Bell,Anne,C,873-239-9135,91 Pennington St. Whitecourt AB ,T7S 2V3
110,Berry,Audrey,R,658-779-0848,452 Chapel St. Innisfil ON ,L9S 1T5
111,Black,Ava,C,768-755-1966,12 Talbot St. La Tuque QC ,G9X 4T8
112,Blake,Bella,R,718-412-8749,12 Wood St. Similkameen BC ,V0X 9B3
113,Bond,Bernadette,C,895-634-7162,665 Clinton Road Kanata ON ,K2K 7K6
114,Bower,Carol,R,859-730-9713,221 Plumb Branch Street Parc-Extension QC ,H3N 2M9
115,Brown,Caroline,C,584-248-4388,6 Richardson St. Lepreau NB ,E5J 3J4
116,Buckland,Carolyn,R,767-560-9052,270 Van Dyke St. Acton ON ,L7J 6X2
117,Burgess,Chloe,C,246-886-4555,25 West Drive Laurentides-Nord QC ,J0T 1S6
118,Butler,Claire,R,807-977-9424,734 Hall St. Louisbourg NS ,B1C 1B8
119,Cameron,Deirdre,C,671-565-4679,149 Airport Avenue Thetford Mines QC ,G6G 7T5
120,Campbell,Diana,R,247-491-7671,8807 West La Sierra Street Penetanguishene ON ,L9M 8H4
121,Carr,Diane,C,832-825-5954,978 W. Lower River Ave. Nelson BC ,V1L 1C8
122,Chapman,Donna,R,528-481-7118,9042 Shady Road Oxford ON ,N0J 7V9
123,Churchill,Dorothy,C,498-603-4854,72 North Santa Clara Drive Saint-Henri QC ,H4C 8V5
124,Clark,Elizabeth,R,791-918-9657,9294 W. Marlborough St. Peace River AB ,T8S 0E8
125,Clarkson,Adam,C,746-712-8796,149 Airport Avenue Thetford Mines QC ,L9S 1T5
126,Coleman,Adrian,R,950-928-8294,8807 West La Sierra Street Penetanguishene ON ,G9X 4T8
127,Cornish,Alan,C,793-396-1836,978 W. Lower River Ave. Nelson BC ,V0X 9B3
128,Davidson,Alexander,R,638-837-8902,9042 Shady Road Oxford ON ,K2K 7K6
129,Davies,Andrew,C,447-977-6146,9119 Marshall Drive Midland ON ,H3N 2M9
130,Dickens,Anthony,R,725-621-3535,89 Prairie St. St-Louis-de-Kent NB ,E5J 3J4
131,Dowd,Austin,C,678-649-7167,7423 East Fifth Court St. Martins NB ,J0T 1S6
132,Duncan,Benjamin,R,810-257-8447,9464 Linden St. Weyburn SK ,B1C 1B8
133,Dyer,Blake,C,549-445-4100,7061 Stillwater Street Ste. Anne MB ,G6G 7T5
134,Edmunds,Boris,R,820-766-0583,91 Pennington St. Whitecourt AB ,L9M 8H4
135,Ellison,Brandon,C,390-337-1927,665 Clinton Road Kanata ON ,V1L 1C8
136,Ferguson,Brian,R,398-995-6703,221 Plumb Branch Street Parc-Extension QC ,N0J 7V9
137,Fisher,Cameron,C,870-863-9950,6 Richardson St. Lepreau NB ,H4C 8V5
138,Forsyth,Carl,R,980-877-2072,270 Van Dyke St. Acton ON ,L4R 0A9
139,Fraser,Charles,C,619-446-2719,25 West Drive Laurentides-Nord QC ,E4X 0C3
140,Gibson,Christian,R,929-949-8163,734 Hall St. Louisbourg NS ,E5R 1M8
141,Gill,Christopher,C,822-701-2465,149 Airport Avenue Thetford Mines QC ,S4H 7C7
142,Glover,Colin,R,987-970-4472,8807 West La Sierra Street Penetanguishene ON ,R5H 7B9
143,Graham,Connor,C,509-271-1198,978 W. Lower River Ave. Nelson BC ,T7S 2V3
144,Grant,Dan,R,432-846-8436,9042 Shady Road Oxford ON ,L9S 1T5
145,Gray,David,C,813-461-9053,7423 East Fifth Court St. Martins NB ,G9X 4T8
146,Greene,Dominic,R,798-607-0660,9464 Linden St. Weyburn SK ,L7J 6X2
147,Hamilton,Dylan,C,891-964-6370,7061 Stillwater Street Ste. Anne MB ,J0T 1S6
148,Hardacre,Edward,R,716-878-8272,91 Pennington St. Whitecourt AB ,B1C 1B8
149,Harris,Eric,C,428-536-2759,452 Chapel St. Innisfil ON ,G6G 7T5
